,Elo
Scotland,2259.0
England,2461.0
Wales,2295.0
Northern Ireland,2089.0
USA,2356.0
Canada,2327.0
Uruguay,2474.0
Argentina,2650.0
Austria,2255.0
Hungary,2318.0
Czechoslovakia,2277.0
Belgium,2556.0
France,2537.0
Switzerland,2441.0
Netherlands,2537.0
Germany,2470.0
Sweden,2285.0
Norway,2258.0
Italy,2527.0
Chile,2257.0
Finland,2209.0
Luxembourg,1938.0
Catalonia,2141.0
Russia,2274.0
Denmark,2474.0
Brazil,2669.0
Basque Country,2262.0
Japan,2346.0
Philippines,1809.0
Paraguay,2293.0
Estonia,1989.0
Provence,1942.0
Costa Rica,2284.0
El Salvador,2085.0
Guatemala,2091.0
Yugoslavia,2298.0
Spain,2556.0
Portugal,2518.0
Poland,2315.0
Brittany,2005.0
Romania,2169.0
New Zealand,2186.0
Australia,2296.0
Latvia,1910.0
Galicia,2044.0
Central Spain,1995.0
Mexico,2385.0
Andalusia,2085.0
Asturias,2021.0
China PR,2092.0
Lithuania,1808.0
Turkey,2212.0
Aruba,1714.0
Curaçao,2002.0
Bulgaria,2066.0
Egypt,2229.0
South Africa,2115.0
Haiti,2163.0
Jamaica,2146.0
Republic of Ireland,2214.0
Kenya,1993.0
Uganda,2024.0
Bolivia,2143.0
Peru,2383.0
Honduras,2093.0
Guyana,1893.0
Trinidad and Tobago,2001.0
Belarus,1988.0
Ukraine,2323.0
Barbados,1743.0
Nicaragua,1927.0
Greece,2230.0
Martinique,2026.0
Dominica,1754.0
Silesia,2003.0
Cuba,1955.0
Guadeloupe,1956.0
Israel,2149.0
Indonesia,1883.0
Suriname,2004.0
French Guiana,2040.0
Saint Lucia,1826.0
Ecuador,2363.0
Colombia,2467.0
Venezuela,2247.0
Saint Kitts and Nevis,1881.0
Grenada,1792.0
India,1897.0
Panama,2228.0
Slovakia,2142.0
Manchukuo,1934.0
Croatia,2427.0
Lebanon,1971.0
Puerto Rico,1809.0
Afghanistan,1816.0
Iran,2394.0
Mongolia,1640.0
Tanzania,1929.0
Zimbabwe,1963.0
Zambia,2048.0
Iceland,2121.0
